127.0.0.1 - - [25/May/2024:09:02:00 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [25/May/2024:09:02:01 +0530] "GET /AdvancedJava/function.jsp HTTP/1.1" 200 307
0:0:0:0:0:0:0:1 - - [25/May/2024:09:02:01 +0530] "GET /AdvancedJava/function.js HTTP/1.1" 200 1361
0:0:0:0:0:0:0:1 - - [25/May/2024:09:02:01 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [25/May/2024:09:02:17 +0530] "GET /AdvancedJava/function.jsp HTTP/1.1" 200 307
0:0:0:0:0:0:0:1 - - [25/May/2024:09:02:18 +0530] "GET /AdvancedJava/function.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2024:09:03:34 +0530] "GET /AdvancedJava/function.jsp HTTP/1.1" 200 307
0:0:0:0:0:0:0:1 - - [25/May/2024:09:03:34 +0530] "GET /AdvancedJava/function.js HTTP/1.1" 200 1417
0:0:0:0:0:0:0:1 - - [25/May/2024:09:08:43 +0530] "GET /AdvancedJava/function.jsp HTTP/1.1" 200 307
0:0:0:0:0:0:0:1 - - [25/May/2024:09:08:44 +0530] "GET /AdvancedJava/function.js HTTP/1.1" 200 1494
0:0:0:0:0:0:0:1 - - [25/May/2024:09:11:09 +0530] "GET /AdvancedJava/function.jsp HTTP/1.1" 200 307
0:0:0:0:0:0:0:1 - - [25/May/2024:09:11:09 +0530] "GET /AdvancedJava/function.js HTTP/1.1" 200 1575
0:0:0:0:0:0:0:1 - - [25/May/2024:09:13:10 +0530] "GET /AdvancedJava/function.jsp HTTP/1.1" 200 307
0:0:0:0:0:0:0:1 - - [25/May/2024:09:13:10 +0530] "GET /AdvancedJava/function.js HTTP/1.1" 200 1725
0:0:0:0:0:0:0:1 - - [25/May/2024:09:16:00 +0530] "GET /AdvancedJava/function.jsp HTTP/1.1" 200 307
0:0:0:0:0:0:0:1 - - [25/May/2024:09:16:00 +0530] "GET /AdvancedJava/function.js HTTP/1.1" 200 1827
0:0:0:0:0:0:0:1 - - [25/May/2024:09:17:33 +0530] "GET /AdvancedJava/function.jsp HTTP/1.1" 200 307
0:0:0:0:0:0:0:1 - - [25/May/2024:09:17:33 +0530] "GET /AdvancedJava/function.js HTTP/1.1" 200 1862
0:0:0:0:0:0:0:1 - - [25/May/2024:09:17:57 +0530] "GET /AdvancedJava/function.jsp HTTP/1.1" 200 307
0:0:0:0:0:0:0:1 - - [25/May/2024:09:17:57 +0530] "GET /AdvancedJava/function.js HTTP/1.1" 200 1869
0:0:0:0:0:0:0:1 - - [25/May/2024:09:25:43 +0530] "GET /AdvancedJava/array.jsp HTTP/1.1" 200 215
