127.0.0.1 - - [01/Jun/2024:09:19:58 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [01/Jun/2024:09:20:02 +0530] "GET /AdvancedJava/index.jsp HTTP/1.1" 200 2813
0:0:0:0:0:0:0:1 - - [01/Jun/2024:09:20:02 +0530] "GET /AdvancedJava/style.css HTTP/1.1" 200 214
0:0:0:0:0:0:0:1 - - [01/Jun/2024:09:20:02 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [01/Jun/2024:09:20:05 +0530] "POST /AdvancedJava/index.jsp HTTP/1.1" 200 2813
0:0:0:0:0:0:0:1 - - [01/Jun/2024:09:21:19 +0530] "POST /AdvancedJava/index.jsp HTTP/1.1" 200 2813
0:0:0:0:0:0:0:1 - - [01/Jun/2024:09:21:22 +0530] "POST /AdvancedJava/index.jsp HTTP/1.1" 200 2813
0:0:0:0:0:0:0:1 - - [01/Jun/2024:09:22:14 +0530] "GET /AdvancedJava/index.jsp HTTP/1.1" 200 2813
0:0:0:0:0:0:0:1 - - [01/Jun/2024:09:22:16 +0530] "POST /AdvancedJava/index.jsp HTTP/1.1" 200 2813
0:0:0:0:0:0:0:1 - - [01/Jun/2024:09:22:18 +0530] "GET /AdvancedJava/index.jsp HTTP/1.1" 200 2813
0:0:0:0:0:0:0:1 - - [01/Jun/2024:09:24:57 +0530] "GET /AdvancedJava/index.jsp HTTP/1.1" 200 2801
0:0:0:0:0:0:0:1 - - [01/Jun/2024:09:24:59 +0530] "POST /AdvancedJava/index.jsp HTTP/1.1" 200 2801
0:0:0:0:0:0:0:1 - - [01/Jun/2024:09:25:02 +0530] "POST /AdvancedJava/index.jsp HTTP/1.1" 200 2801
0:0:0:0:0:0:0:1 - - [01/Jun/2024:09:26:12 +0530] "GET /AdvancedJava/index.jsp HTTP/1.1" 200 3105
0:0:0:0:0:0:0:1 - - [01/Jun/2024:09:27:29 +0530] "GET /AdvancedJava/index.jsp HTTP/1.1" 200 2784
0:0:0:0:0:0:0:1 - - [01/Jun/2024:09:29:38 +0530] "GET /AdvancedJava/index.jsp HTTP/1.1" 200 2788
